#(V05.02.04C) EGD Point List Report for PTT_1609256_59_T1,,,,,,,,,,,,,,,,,,
Entry No,Variable,Point Name,Point Offset,Direction,Data Type,CIMPLICITY Resource,Units,Producer ID,Period(ms),Exchange Name,Destination,Description,Alias,Second Language Description,Path,Format Specification,,
655,MWFB,EGD.ProducedPages.FastEGD.Exchange3.Point_25,03.0012.0,ReadOnly,REAL,,MW,1701122220,10,Exchange3,172.16.111.255,MW feedback for breaker open,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:MWFB,MWATT,,
656,NGGSEL,EGD.ProducedPages.FastEGD.Exchange3.Point_24,03.0008.0,ReadOnly,REAL,,rpm,1701122220,10,Exchange3,172.16.111.255,Selected Gas Generator Speed,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:NGGSEL,RPM,,
658,A2SD_HMI,EGD.ProducedPages.FastEGD.Exchange3.Point_38,03.0064.0,ReadOnly,DINT,,,1701122220,10,Exchange3,172.16.111.255,Starting Device Selection Status,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:A2SD_HMI,,,
659,T2B,EGD.ProducedPages.FastEGD.Exchange3.Point_39,03.0068.0,ReadOnly,REAL,,?,1701122220,10,Exchange3,172.16.111.255,T2B Validated Input,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:T2B,TC,,
660,NGGIDL,EGD.ProducedPages.FastEGD.Exchange3.Point_32,03.0040.0,ReadOnly,REAL,,rpm,1701122220,10,Exchange3,172.16.111.255,NGG idle speed,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:NGGIDL,RPM,,
661,T3SEL,EGD.ProducedPages.FastEGD.Exchange3.Point_33,03.0044.0,ReadOnly,REAL,,?,1701122220,10,Exchange3,172.16.111.255,T3 selected value,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:T3SEL,TC,,
688,IDLCLDW_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_635,06.0120.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine core idle cooldown - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:IDLCLDW_RT,SEC,,
713,AC2SIDL_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_627,06.0088.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Acceleration to synch idle - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:AC2SIDL_RT,SEC,,
751,TGBC_DMSP,EGD.ProducedPages.DigitalOUT.Exchange6.Point_642,06.0148.0,ReadOnly,REAL,,?,1701122220,160,Exchange6,172.16.111.255,Transfer gearbox sump C temperature DM setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:TGBC_DMSP,TC,,
769,AXSQCTO_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_645,06.0160.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Aux startup remaining time upon CALCRK mode,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:AXSQCTO_RT,SEC,,
915,CLDMTRG_ET,EGD.ProducedPages.DigitalOUT.Exchange6.Point_631,06.0104.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Cooldown motoring - Elapsed time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:CLDMTRG_ET,SEC,,
954,AXSQRTO_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_638,06.0132.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Auxiliaries startup remaining time upon RUN mode,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:AXSQRTO_RT,SEC,,
